Key,en,es,ar,fr
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord
Language,Language,Idioma,لغة,Langue
Information,Information,Información,معلومة,Information
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues
Language created successfully!,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,Langue créée avec succès !
Basic settings fetch successfully!,Basic settings fetch successfully!,¡La configuración básica se obtuvo correctamente!,تم جلب الإعدادات الأساسية بنجاح!,Les paramètres de base ont été récupérés avec succès !
Access denied! Unauthenticated,Access denied! Unauthenticated,¡Acceso denegado! No autenticado,تم الرفض! غير مصادق عليه,Accès refusé! Non authentifié
Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Verification code sended successfully to your mail. Please check your mail inbox/spam to verify,Código de verificación enviado exitosamente a tu correo. Por favor revise su bandeja de entrada/spam para verificar,تم إرسال رمز التحقق بنجاح إلى بريدك. يرجى التحقق من صندوق البريد الوارد/البريد العشوائي للتحقق,Code de vérification envoyé avec succès à votre courrier. Veuillez vérifier votre boîte de réception/spam pour vérifier
Verification code resend successfully!,Verification code resend successfully!,¡El código de verificación se reenvía exitosamente!,تم إعادة إرسال رمز التحقق بنجاح!,Code de vérification renvoyé avec succès !
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válida. Por favor inténtalo de nuevo,كلمة المرور لمرة واحدة غير صالحة. يرجى المحاولة مرة أخرى,OTP invalide. Veuillez réessayer
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح,Compte vérifié avec succès
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,Vous êtes déjà un utilisateur vérifié KYC
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información KYC. Espere la confirmación del administrador.,تم تقديم معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف,Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administrateur
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,La section KYC de l'utilisateur est en cours de maintenance
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!,Les champs de saisie KYC de l'utilisateur sont récupérés avec succès !
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح,Informations KYC soumises avec succès
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع جوجل 2FA,Votre compte sécurisé avec Google 2FA
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con tecnología de Google), visite su panel web. Haga clic aquí:",لتمكين المصادقة الثنائية (المدعومة من جوجل)، يرجى زيارة لوحة تحكم الويب الخاصة بك انقر هنا:,"Pour activer l'authentification à deux facteurs (optimisée par Google), veuillez visiter votre tableau de bord Web. Cliquez ici :"
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام,Votre clé secrète n'est pas stockée correctement. Veuillez contacter l'administrateur système
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Google 2FA verificado con éxito!,تم التحقق من المصادقة الثنائية على Google بنجاح!,Google 2FA vérifié avec succès !
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح,Code d'authentification invalide
Failed to login. Please try again,Failed to login. Please try again,No se pudo iniciar sesión. Por favor inténtalo de nuevo,فشل تسجيل الدخول. يرجى المحاولة مرة أخرى,Échec de la connexion. Veuillez réessayer
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,L'utilisateur n'existe pas
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,حسابك مقيد مؤقتًا. يرجى الاتصال بمسؤول النظام,Votre compte est temporairement bloqué. Veuillez contacter l'administrateur système
Verification code sended to your email address,Verification code sended to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail
Session expired. Please try again,Session expired. Please try again,La sesión expiró. Por favor inténtalo de nuevo,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,Session expirée. Veuillez réessayer
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide
OTP successfully verified!,OTP successfully verified!,¡OTP verificada con éxito!,تم التحقق من كلمة مرور OTP بنجاح!,OTP vérifié avec succès !
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح,Le jeton de demande n'est pas valide
